player,team,competition_name,season_name,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution
Abbey-Leigh Stringer,Everton LFC,FA Women's Super League,2018/2019,2.0,0.0,416.0,100.0,30.0,420.0,17.0,18.0,18.0,31.0,55.0,0.0,29.0,19.0,0.0,2.0,14.0,17.0,0.0,0.0,0.0,504.0,0.0,0.0,261.0,0.0,3.0,2.0
Abbey-Leigh Stringer,Everton LFC,FA Women's Super League,2019/2020,1.0,0.0,191.0,36.0,8.0,175.0,11.0,10.0,12.0,18.0,24.0,1.0,17.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,222.0,0.0,0.0,149.0,0.0,0.0,4.0
Abbey-Leigh Stringer,Everton LFC,FA Women's Super League,2020/2021,4.0,0.0,311.0,53.0,15.0,288.0,13.0,7.0,13.0,20.0,33.0,0.0,25.0,11.0,0.0,1.0,13.0,3.0,0.0,0.0,0.0,372.0,0.0,0.0,170.0,0.0,8.0,5.0
Abbi Grant,Birmingham City WFC,FA Women's Super League,2019/2020,2.0,0.0,489.0,69.0,27.0,365.0,13.0,29.0,23.0,23.0,38.0,0.0,10.0,14.0,0.0,2.0,11.0,46.0,0.0,0.0,0.0,315.0,2.0,2.0,295.0,0.0,23.0,8.0
Abbi Grant,Birmingham City WFC,FA Women's Super League,2020/2021,0.0,0.0,24.0,3.0,2.0,12.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0,0.0,1.0,0.0
Abbie Larkin,Republic of Ireland Women's,Women's World Cup,2023,2.0,0.0,31.0,8.0,2.0,21.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,27.0,0.0,2.0,0.0
Abbie Magee,Northern Ireland,UEFA Women's Euro,2022,0.0,0.0,30.0,6.0,6.0,29.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,38.0,0.0,0.0,27.0,1.0,0.0,0.0
Abbie McManus,England Women's,Women's World Cup,2019,0.0,0.0,168.0,17.0,7.0,168.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,18.0,0.0,0.0,1.0
Abbie McManus,Manchester City WFC,FA Women's Super League,2018/2019,0.0,0.0,543.0,63.0,29.0,566.0,28.0,7.0,20.0,14.0,39.0,1.0,9.0,6.0,0.0,0.0,16.0,6.0,0.0,1.0,0.0,788.0,1.0,1.0,122.0,2.0,4.0,2.0
Abbie McManus,Manchester United,FA Women's Super League,2019/2020,1.0,0.0,450.0,76.0,16.0,472.0,55.0,3.0,4.0,5.0,18.0,0.0,8.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,630.0,1.0,1.0,98.0,2.0,1.0,0.0
